id,source,seed,episodeIndex,success,abortReason,numSteps,meanAbsCorrection,maxAbsCorrection
exp012_64250003_3,exp012,64250003,3,True,,20,0.016693864716216922,0.04837697371840477
exp012_64260000_0,exp012,64260000,0,False,,23,0.017120654077228646,0.0475701498799026
exp012_64260001_1,exp012,64260001,1,False,,23,0.018001946397935568,0.08669954538345337
exp012_64260002_2,exp012,64260002,2,False,,23,0.017721809841611463,0.08317159861326218
exp012_64260003_3,exp012,64260003,3,False,,23,0.013173092065540992,0.052938904613256454
exp013_64230000_0,exp013,64230000,0,False,,23,0.02341521695337218,0.05129794403910637
exp013_64230001_1,exp013,64230001,1,False,,23,0.012485673306914776,0.047326819971203804
exp013_64230002_2,exp013,64230002,2,False,,23,0.010637581439526833,0.04631759598851204
exp013_64230003_3,exp013,64230003,3,False,,23,0.018923731277818264,0.06813725177198648
exp013_64240000_0,exp013,64240000,0,True,,15,0.023994868093480667,0.056427843403071165
exp013_64240001_1,exp013,64240001,1,False,,23,0.02562006603440513,0.08494515344500542
exp013_64240002_2,exp013,64240002,2,False,,23,0.007969076011289397,0.04419563431292772
exp013_64240003_3,exp013,64240003,3,False,,23,0.025052935715116884,0.09038341417908669
exp013_64250000_0,exp013,64250000,0,False,,23,0.01787011218054787,0.0672701857984066
exp013_64250001_1,exp013,64250001,1,False,,23,0.010639326616554805,0.04369041230529547
exp013_64250002_2,exp013,64250002,2,True,,14,0.01672554897543575,0.043302303180098534
exp013_64250003_3,exp013,64250003,3,False,,23,0.015199027155809428,0.0458047641441226
exp013_64260000_0,exp013,64260000,0,False,,23,0.01562745917244288,0.04655288439244032
exp013_64260001_1,exp013,64260001,1,False,,23,0.014898421850217424,0.056126395240426064
exp013_64260002_2,exp013,64260002,2,True,,16,0.025106480403337628,0.06416031531989574
exp013_64260003_3,exp013,64260003,3,False,,23,0.008895288221538067,0.056521134451031685
exp014_64230000_0,exp014,64230000,0,False,,23,0.040313153709892344,0.10788483917713165
exp014_64230001_1,exp014,64230001,1,False,,23,0.01682596993835076,0.0844113314524293
exp014_64230002_2,exp014,64230002,2,False,,23,0.01312540779295175,0.04669102840125561
exp014_64230003_3,exp014,64230003,3,False,,23,0.017782396960841572,0.07493672147393227
exp014_64240000_0,exp014,64240000,0,False,,23,0.014139250649706177,0.04318554885685444
exp014_64240001_1,exp014,64240001,1,False,,23,0.015581033501328657,0.06822024565190077
exp014_64240002_2,exp014,64240002,2,False,,23,0.008353566877422449,0.027221343480050564
exp014_64240003_3,exp014,64240003,3,False,,23,0.02453688257778792,0.06212710216641426
exp014_64250000_0,exp014,64250000,0,False,,23,0.018762157278378374,0.06792404036968946
exp014_64250001_1,exp014,64250001,1,False,,23,0.015073534283463074,0.07201716909185052
exp014_64250002_2,exp014,64250002,2,True,,14,0.017978577442201122,0.048787934705615044
exp014_64250003_3,exp014,64250003,3,False,,23,0.011795734561493864,0.09265837026759982
exp014_64260000_0,exp014,64260000,0,False,,23,0.01758128276054302,0.08400801569223404
exp014_64260001_1,exp014,64260001,1,False,,23,0.02630915507957663,0.0731930723413825
exp014_64260002_2,exp014,64260002,2,False,,23,0.008810403888397243,0.026727003045380116
exp014_64260003_3,exp014,64260003,3,False,,23,0.022024965672956212,0.07062451029196382
exp015_64230000_0,exp015,64230000,0,True,,14,0.016669604860778366,0.048128215596079826
exp015_64230001_1,exp015,64230001,1,True,,14,0.017214363108256032,0.05577659048140049
exp015_64230002_2,exp015,64230002,2,True,,21,0.032103512436151505,0.11489816941320896
exp015_64230003_3,exp015,64230003,3,False,,23,0.023752526278890993,0.10606495942920446
exp015_64240000_0,exp015,64240000,0,True,,13,0.022611228462595206,0.05272591859102249
exp015_64240001_1,exp015,64240001,1,False,,23,0.044423554295107075,0.11402720212936401
exp015_64240002_2,exp015,64240002,2,False,,23,0.013791251401214497,0.039344267919659615
exp015_64240003_3,exp015,64240003,3,False,,23,0.039194214663913714,0.10718557238578796
exp015_64250000_0,exp015,64250000,0,False,,23,0.03948810785684897,0.09887013491243124
exp015_64250001_1,exp015,64250001,1,False,,23,0.02504046105415277,0.11437447741627693
exp015_64250002_2,exp015,64250002,2,True,,12,0.02991500038964053,0.08151069469749928
exp015_64250003_3,exp015,64250003,3,False,,23,0.023690151668194194,0.09557324880734086
exp015_64260000_0,exp015,64260000,0,False,"planning_failed_30_times_{'left': 'Success', 'right': 'Fail'}",20,0.03433102048002183,0.09433211199939251
exp015_64260001_1,exp015,64260001,1,False,,23,0.018098364199471216,0.053617700934410095
exp015_64260002_2,exp015,64260002,2,True,,12,0.0224752821183453,0.055768806487321854
exp015_64260003_3,exp015,64260003,3,True,,23,0.022755130153635273,0.07351661659777164
