run_id,task,layout_id,success,score,env_steps
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,14,False,0.0,700
match_and_pick_from_conveyor-base,match_and_pick_from_conveyor,15,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,0,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,1,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,2,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,3,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,4,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,5,True,0.0,534
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,6,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,7,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,8,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,9,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,10,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,11,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,12,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,13,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,14,False,0.0,700
match_and_pick_from_conveyor-early-a,match_and_pick_from_conveyor,15,False,0.0,700
put_bottles_into_dustbin-base,put_bottles_into_dustbin,0,False,0.0,700
put_bottles_into_dustbin-base,put_bottles_into_dustbin,1,True,1.0,564
put_bottles_into_dustbin-base,put_bottles_into_dustbin,2,False,0.4,700
put_bottles_into_dustbin-base,put_bottles_into_dustbin,3,False,0.25,700
put_bottles_into_dustbin-base,put_bottles_into_dustbin,4,True,1.0,697
put_bottles_into_dustbin-base,put_bottles_into_dustbin,5,False,0.4,700
put_bottles_into_dustbin-base,put_bottles_into_dustbin,6,True,1.0,461
put_bottles_into_dustbin-base,put_bottles_into_dustbin,7,True,1.0,475
put_bottles_into_dustbin-base,put_bottles_into_dustbin,8,False,0.4,700
put_bottles_into_dustbin-base,put_bottles_into_dustbin,9,True,1.0,434
put_bottles_into_dustbin-base,put_bottles_into_dustbin,10,False,0.4,700
put_bottles_into_dustbin-base,put_bottles_into_dustbin,11,True,1.0,503
put_bottles_into_dustbin-base,put_bottles_into_dustbin,12,True,1.0,568
put_bottles_into_dustbin-base,put_bottles_into_dustbin,13,True,1.0,386
put_bottles_into_dustbin-base,put_bottles_into_dustbin,14,True,1.0,582
put_bottles_into_dustbin-base,put_bottles_into_dustbin,15,True,1.0,665
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,0,True,1.0,642
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,1,True,1.0,562
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,2,True,1.0,530
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,3,True,1.0,624
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,4,False,0.25,700
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,5,True,1.0,399
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,6,True,1.0,328
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,7,True,1.0,410
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,8,True,1.0,678
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,9,True,1.0,436
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,10,True,1.0,507
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,11,True,1.0,501
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,12,True,1.0,435
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,13,False,0.4,700
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,14,False,0.25,700
put_bottles_into_dustbin-early-a,put_bottles_into_dustbin,15,False,0.4,700
cover_blocks-base,cover_blocks,0,False,0.05,403
cover_blocks-base,cover_blocks,1,False,0.0,800
cover_blocks-base,cover_blocks,2,False,0.0,800
cover_blocks-base,cover_blocks,3,False,0.0,800
cover_blocks-base,cover_blocks,4,False,0.0,420
cover_blocks-base,cover_blocks,5,False,0.0,531
cover_blocks-base,cover_blocks,6,False,0.05,476
cover_blocks-base,cover_blocks,7,False,0.0,800
cover_blocks-base,cover_blocks,8,False,0.0,731
cover_blocks-base,cover_blocks,9,False,0.0,509
cover_blocks-base,cover_blocks,10,False,0.0,627
cover_blocks-base,cover_blocks,11,False,0.0,800
cover_blocks-base,cover_blocks,12,False,0.05,800
cover_blocks-base,cover_blocks,13,False,0.0,252
cover_blocks-base,cover_blocks,14,False,0.0,800
cover_blocks-base,cover_blocks,15,False,0.05,800
cover_blocks-early-a,cover_blocks,0,False,0.0,700
cover_blocks-early-a,cover_blocks,1,False,0.0,800
cover_blocks-early-a,cover_blocks,2,False,0.0,800
cover_blocks-early-a,cover_blocks,3,False,0.0,598
cover_blocks-early-a,cover_blocks,4,False,0.0,800
cover_blocks-early-a,cover_blocks,5,False,0.0,800
cover_blocks-early-a,cover_blocks,6,False,0.0,800
cover_blocks-early-a,cover_blocks,7,False,0.0,800
cover_blocks-early-a,cover_blocks,8,False,0.0,800
cover_blocks-early-a,cover_blocks,9,False,0.0,800
cover_blocks-early-a,cover_blocks,10,False,0.0,800
cover_blocks-early-a,cover_blocks,11,False,0.05,800
cover_blocks-early-a,cover_blocks,12,False,0.0,800
cover_blocks-early-a,cover_blocks,13,False,0.05,800
cover_blocks-early-a,cover_blocks,14,False,0.0,800
cover_blocks-early-a,cover_blocks,15,False,0.0,800
press_by_number-base,press_by_number,0,False,0.0,700
